"","EVTYPE","yr","outcomes","totalamount"
"628","OTHER",2006,"INJURIES",48
"629","FIRE",2006,"INJURIES",92
"630","MARINE SQUALL",2006,"INJURIES",27
"631","TORNADO",2007,"INJURIES",659
"632","HAIL",2007,"INJURIES",25
"633","FLOOD",2007,"INJURIES",59
"634","STORM",2007,"INJURIES",405
"635","WINTER WEATHER",2007,"INJURIES",166
"636","HIGH WINDS",2007,"INJURIES",47
"637","DROUGHT",2007,"INJURIES",0
"638","MARINE SQUALL",2007,"INJURIES",19
"639","EXTREME TEMPERATURE",2007,"INJURIES",577
"640","OTHER",2007,"INJURIES",15
"641","FIRE",2007,"INJURIES",185
"642","HURRICANE",2007,"INJURIES",12
"643","STORM",2008,"INJURIES",479
"644","DROUGHT",2008,"INJURIES",14
"645","HIGH WINDS",2008,"INJURIES",82
"646","HAIL",2008,"INJURIES",12
"647","TORNADO",2008,"INJURIES",1690
"648","WINTER WEATHER",2008,"INJURIES",99
"649","FLOOD",2008,"INJURIES",46
"650","MARINE SQUALL",2008,"INJURIES",78
"651","EXTREME TEMPERATURE",2008,"INJURIES",139
"652","OTHER",2008,"INJURIES",14
"653","FIRE",2008,"INJURIES",32
"654","HURRICANE",2008,"INJURIES",0
"655","FLOOD",2009,"INJURIES",27
"656","HIGH WINDS",2009,"INJURIES",46
"657","WINTER WEATHER",2009,"INJURIES",124
"658","STORM",2009,"INJURIES",398
"659","EXTREME TEMPERATURE",2009,"INJURIES",26
"660","OTHER",2009,"INJURIES",12
"661","HAIL",2009,"INJURIES",70
"662","TORNADO",2009,"INJURIES",397
"663","FIRE",2009,"INJURIES",68
"664","MARINE SQUALL",2009,"INJURIES",43
"665","DROUGHT",2009,"INJURIES",3
"666","STORM",2010,"INJURIES",502
"667","TORNADO",2010,"INJURIES",699
"668","HAIL",2010,"INJURIES",42
"669","FLOOD",2010,"INJURIES",315
"670","WINTER WEATHER",2010,"INJURIES",28
"671","EXTREME TEMPERATURE",2010,"INJURIES",103
"672","HIGH WINDS",2010,"INJURIES",45
"673","OTHER",2010,"INJURIES",20
"674","MARINE SQUALL",2010,"INJURIES",64
"675","FIRE",2010,"INJURIES",24
"676","DROUGHT",2010,"INJURIES",0
"677","FLOOD",2011,"INJURIES",41
"678","HIGH WINDS",2011,"INJURIES",43
"679","WINTER WEATHER",2011,"INJURIES",0
"680","EXTREME TEMPERATURE",2011,"INJURIES",751
"681","MARINE SQUALL",2011,"INJURIES",36
"682","DROUGHT",2011,"INJURIES",8
"683","OTHER",2011,"INJURIES",8
"684","STORM",2011,"INJURIES",573
"685","TORNADO",2011,"INJURIES",6163
"686","HAIL",2011,"INJURIES",31
"687","FIRE",2011,"INJURIES",116
"688","HURRICANE",2011,"INJURIES",0
