"","EVTYPE","yr","outcomes","totalamount"
"131","EXTREME TEMPERATURE",1995,"FATALITIES",898
"132","OTHER",1995,"FATALITIES",18
"133","MARINE SQUALL",1995,"FATALITIES",253
"134","TORNADO",1995,"FATALITIES",34
"135","FLOOD",1995,"FATALITIES",76
"136","HIGH WINDS",1993,"FATALITIES",31
"137","HIGH WINDS",1995,"FATALITIES",20
"138","TORNADO",1993,"FATALITIES",56
"139","HIGH WINDS",1994,"FATALITIES",4
"140","FLOOD",1994,"FATALITIES",86
"141","OTHER",1993,"FATALITIES",6
"142","FLOOD",1993,"FATALITIES",52
"143","EXTREME TEMPERATURE",1994,"FATALITIES",64
"144","MARINE SQUALL",1994,"FATALITIES",27
"145","EXTREME TEMPERATURE",1993,"FATALITIES",23
"146","MARINE SQUALL",1993,"FATALITIES",21
"147","OTHER",1994,"FATALITIES",6
"148","DROUGHT",1995,"FATALITIES",0
"149","DROUGHT",1994,"FATALITIES",0
"150","FIRE",1993,"FATALITIES",3
"151","FIRE",1994,"FATALITIES",0
"152","FIRE",1995,"FATALITIES",0
"153","HURRICANE",1993,"FATALITIES",0
"154","DROUGHT",1993,"FATALITIES",0
"155","HURRICANE",1994,"FATALITIES",0
"156","WINTER WEATHER",1996,"FATALITIES",84
"157","TORNADO",1996,"FATALITIES",26
"158","STORM",1996,"FATALITIES",88
"159","HAIL",1996,"FATALITIES",1
"160","HIGH WINDS",1996,"FATALITIES",31
"161","FLOOD",1996,"FATALITIES",124
"162","EXTREME TEMPERATURE",1996,"FATALITIES",91
"163","OTHER",1996,"FATALITIES",29
"164","MARINE SQUALL",1996,"FATALITIES",29
"165","FIRE",1996,"FATALITIES",0
"166","DROUGHT",1996,"FATALITIES",0
"167","HURRICANE",1996,"FATALITIES",17
"168","STORM",1997,"FATALITIES",92
"169","TORNADO",1997,"FATALITIES",68
"170","HAIL",1997,"FATALITIES",0
"171","EXTREME TEMPERATURE",1997,"FATALITIES",106
"172","FLOOD",1997,"FATALITIES",114
"173","WINTER WEATHER",1997,"FATALITIES",106
"174","HIGH WINDS",1997,"FATALITIES",38
"175","MARINE SQUALL",1997,"FATALITIES",16
"176","HURRICANE",1997,"FATALITIES",1
"177","OTHER",1997,"FATALITIES",34
"178","DROUGHT",1997,"FATALITIES",0
"179","FIRE",1997,"FATALITIES",1
"180","HAIL",1998,"FATALITIES",1
"181","STORM",1998,"FATALITIES",96
"182","FLOOD",1998,"FATALITIES",129
"183","WINTER WEATHER",1998,"FATALITIES",67
"184","HIGH WINDS",1998,"FATALITIES",24
"185","TORNADO",1998,"FATALITIES",130
"186","MARINE SQUALL",1998,"FATALITIES",18
"187","EXTREME TEMPERATURE",1998,"FATALITIES",184
"188","OTHER",1998,"FATALITIES",21
"189","DROUGHT",1998,"FATALITIES",0
"190","HURRICANE",1998,"FATALITIES",4
"191","FIRE",1998,"FATALITIES",0
"192","STORM",1999,"FATALITIES",80
"193","HAIL",1999,"FATALITIES",0
"194","HIGH WINDS",1999,"FATALITIES",33
"195","EXTREME TEMPERATURE",1999,"FATALITIES",506
"196","MARINE SQUALL",1999,"FATALITIES",26
"197","FLOOD",1999,"FATALITIES",65
"198","WINTER WEATHER",1999,"FATALITIES",41
"199","OTHER",1999,"FATALITIES",32
"200","TORNADO",1999,"FATALITIES",94
"201","DROUGHT",1999,"FATALITIES",0
"202","FIRE",1999,"FATALITIES",2
"203","HURRICANE",1999,"FATALITIES",16
"204","STORM",2000,"FATALITIES",81
"205","HAIL",2000,"FATALITIES",2
"206","FLOOD",2000,"FATALITIES",34
"207","TORNADO",2000,"FATALITIES",41
"208","HIGH WINDS",2000,"FATALITIES",26
"209","WINTER WEATHER",2000,"FATALITIES",41
"210","OTHER",2000,"FATALITIES",31
"211","MARINE SQUALL",2000,"FATALITIES",29
"212","EXTREME TEMPERATURE",2000,"FATALITIES",184
"213","DROUGHT",2000,"FATALITIES",0
"214","FIRE",2000,"FATALITIES",3
"215","HURRICANE",2000,"FATALITIES",0
"216","STORM",2001,"FATALITIES",84
"217","HAIL",2001,"FATALITIES",0
"218","TORNADO",2001,"FATALITIES",40
"219","FLOOD",2001,"FATALITIES",47
"220","HIGH WINDS",2001,"FATALITIES",15
"221","FIRE",2001,"FATALITIES",5
"222","WINTER WEATHER",2001,"FATALITIES",19
"223","EXTREME TEMPERATURE",2001,"FATALITIES",170
"224","MARINE SQUALL",2001,"FATALITIES",41
"225","OTHER",2001,"FATALITIES",27
"226","DROUGHT",2001,"FATALITIES",0
"227","HURRICANE",2001,"FATALITIES",0
"228","HAIL",2002,"FATALITIES",0
"229","STORM",2002,"FATALITIES",70
"230","EXTREME TEMPERATURE",2002,"FATALITIES",176
"231","FLOOD",2002,"FATALITIES",42
"232","WINTER WEATHER",2002,"FATALITIES",20
"233","TORNADO",2002,"FATALITIES",55
"234","HIGH WINDS",2002,"FATALITIES",29
"235","MARINE SQUALL",2002,"FATALITIES",48
"236","HURRICANE",2002,"FATALITIES",0
"237","OTHER",2002,"FATALITIES",45
"238","FIRE",2002,"FATALITIES",1
"239","DROUGHT",2002,"FATALITIES",0
"240","STORM",2003,"FATALITIES",72
"241","FLOOD",2003,"FATALITIES",77
"242","HAIL",2003,"FATALITIES",0
