"","EVTYPE","yr","outcomes","totalamount"
"126","STORM",1994,"PROPDMG",882010108.5
"127","TORNADO",1994,"PROPDMG",695764955.5
"128","HAIL",1994,"PROPDMG",289823358
"129","HAIL",1995,"PROPDMG",451280712.7
"130","STORM",1995,"PROPDMG",4824956022.4
"131","EXTREME TEMPERATURE",1995,"PROPDMG",26389000
"132","OTHER",1995,"PROPDMG",2385000
"133","MARINE SQUALL",1995,"PROPDMG",11262550
"134","TORNADO",1995,"PROPDMG",313663137.2
"135","FLOOD",1995,"PROPDMG",431563140.01
"136","HIGH WINDS",1993,"PROPDMG",482338100
"137","HIGH WINDS",1995,"PROPDMG",99424913
"138","TORNADO",1993,"PROPDMG",2368693706
"139","HIGH WINDS",1994,"PROPDMG",63188670
"140","FLOOD",1994,"PROPDMG",1263442019.7
"141","OTHER",1993,"PROPDMG",765000
"142","FLOOD",1993,"PROPDMG",6095995050
"143","EXTREME TEMPERATURE",1994,"PROPDMG",72010000
"144","MARINE SQUALL",1994,"PROPDMG",1611150
"145","EXTREME TEMPERATURE",1993,"PROPDMG",116550000
"146","MARINE SQUALL",1993,"PROPDMG",133816500
"147","OTHER",1994,"PROPDMG",2165000
"148","DROUGHT",1995,"PROPDMG",44000
"149","DROUGHT",1994,"PROPDMG",10000
"150","FIRE",1993,"PROPDMG",6.19e+08
"151","FIRE",1994,"PROPDMG",116567000
"152","FIRE",1995,"PROPDMG",557000
"153","HURRICANE",1993,"PROPDMG",5.5e+07
"154","DROUGHT",1993,"PROPDMG",6000
"155","HURRICANE",1994,"PROPDMG",5e+05
"156","WINTER WEATHER",1996,"PROPDMG",309331700
"157","TORNADO",1996,"PROPDMG",719592550
"158","STORM",1996,"PROPDMG",522752700
"159","HAIL",1996,"PROPDMG",613136490
"160","HIGH WINDS",1996,"PROPDMG",115060710
"161","FLOOD",1996,"PROPDMG",2013464500
"162","EXTREME TEMPERATURE",1996,"PROPDMG",14917400
"163","OTHER",1996,"PROPDMG",168730300
"164","MARINE SQUALL",1996,"PROPDMG",7529000
